"Type","Name","Source","Target","Status","ErrorMessage"
"File","Tracking Thanos Sourcing Request - July and Aug (3).xlsx","Documents/Tracking Thanos Sourcing Request - July and Aug (3).xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Tracking Thanos Sourcing Request - July and Aug (4).xlsx","Documents/Tracking Thanos Sourcing Request - July and Aug (4).xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Tracking Thanos Sourcing Request - July and Aug (5).xlsx","Documents/Tracking Thanos Sourcing Request - July and Aug (5).xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Tracking Thanos Sourcing Request - July and Aug (6).xlsx","Documents/Tracking Thanos Sourcing Request - July and Aug (6).xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Tracking Thanos Sourcing Request - July and Aug.xlsx","Documents/Tracking Thanos Sourcing Request - July and Aug.xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Tracking Thanos Sourcing Request.xlsx","Documents/Tracking Thanos Sourcing Request.xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Updating Existing Purchase Order Formats (AutoRecovered).docx","Documents/Updating Existing Purchase Order Formats (AutoRecovered).docx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Week of 02-05-2024 Supply Chain Meeting Updates.docx","Documents/Week of 02-05-2024 Supply Chain Meeting Updates.docx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Week of 03-26-2024 Supply Chain Meeting Updates.docx","Documents/Week of 03-26-2024 Supply Chain Meeting Updates.docx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Week of 09-07 - EPC Weekly Project Updates (1).xlsx","Documents/Week of 09-07 - EPC Weekly Project Updates (1).xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Week of 1-23-2024 O&M Weekly Project Updates  .xlsx","Documents/Week of 1-23-2024 O&M Weekly Project Updates  .xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Week of 10-30 O&M Weekly Project Updates (1).xlsx","Documents/Week of 10-30 O&M Weekly Project Updates (1).xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Week of 2-19-24 Supply Chain Meeting Updates.docx","Documents/Week of 2-19-24 Supply Chain Meeting Updates.docx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Week of 8-07 Document Update - Entergy Supplier List Rev#1.docx","Documents/Week of 8-07 Document Update - Entergy Supplier List Rev#1.docx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Week of 8-07 Document Update - Entergy Supplier List.docx","Documents/Week of 8-07 Document Update - Entergy Supplier List.docx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Week of 8-08 Document Update - Entergy Supplier List.docx","Documents/Week of 8-08 Document Update - Entergy Supplier List.docx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Week of 8-28 - EPC Weekly Project Updates (1).xlsx","Documents/Week of 8-28 - EPC Weekly Project Updates (1).xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Week of 8-28 - EPC Weekly Project Updates.xlsx","Documents/Week of 8-28 - EPC Weekly Project Updates.xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
